"bookUrl","score","votes"
"https://www.goodreads.com/book/show/41817486-a-clockwork-orange","303209","3416"
"https://www.goodreads.com/book/show/6288.The_Road","301034","3301"
"https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov","300090","3317"
"https://www.goodreads.com/book/show/252577.Angela_s_Ashes","290811","3246"
"https://www.goodreads.com/book/show/345627.Vampire_Academy","278142","2990"
"https://www.goodreads.com/book/show/52036.Siddhartha","273196","3049"
"https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible","271253","2978"
"https://www.goodreads.com/book/show/119322.The_Golden_Compass","258075","2890"
"https://www.goodreads.com/book/show/3836.Don_Quixote","254009","2895"
"https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban","248845","2782"
"https://www.goodreads.com/book/show/662.Atlas_Shrugged","248551","2731"
"https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea","236156","2735"
"https://www.goodreads.com/book/show/33648131-the-notebook","228609","2582"
"https://www.goodreads.com/book/show/99107.Winnie_the_Pooh","219610","2586"
"https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems","218645","2537"
"https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire","208626","2391"
"https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany","207469","2283"
"https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale","202732","2347"
"https://www.goodreads.com/book/show/4989.The_Red_Tent","181001","2025"
"https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire","179293","2053"
"https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees","179112","2051"
"https://www.goodreads.com/book/show/7171637-clockwork-angel","175199","1928"
"https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince","163082","1892"
"https://www.goodreads.com/book/show/16299.And_Then_There_Were_None","161578","1877"
"https://www.goodreads.com/book/show/2187.Middlesex","156972","1753"
"https://www.goodreads.com/book/show/49552.The_Stranger","156192","1793"
"https://www.goodreads.com/book/show/117833.The_Master_and_Margarita","151763","1658"
"https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind","151570","1608"
"https://www.goodreads.com/book/show/11588.The_Shining","150535","1773"
"https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer","146929","1805"
"https://www.goodreads.com/book/show/113436.Eragon","145056","1657"
"https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory","143699","1718"
"https://www.goodreads.com/book/show/36576608-flowers-for-algernon","142783","1661"
"https://www.goodreads.com/book/show/70401.On_the_Road","140740","1595"
"https://www.goodreads.com/book/show/485894.The_Metamorphosis","140249","1651"
"https://www.goodreads.com/book/show/99561.Looking_for_Alaska","140093","1536"
"https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind","139090","1538"
"https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time","138650","1596"
"https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar","137316","1602"
"https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie","135916","1556"
"https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being","135488","1521"
"https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose","132561","1538"
"https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows","131350","1529"
"https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets","130925","1570"
"https://www.goodreads.com/book/show/22034.The_Godfather","128543","1520"
"https://www.goodreads.com/book/show/12296.The_Scarlet_Letter","128243","1597"
"https://www.goodreads.com/book/show/168642.In_Cold_Blood","126081","1496"
"https://www.goodreads.com/book/show/36236124-fight-club","125155","1443"
"https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven","125100","1442"
"https://www.goodreads.com/book/show/6339664-hush-hush","124803","1380"
"https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat","120396","1483"
"https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo","120365","1386"
"https://www.goodreads.com/book/show/30165203-american-gods","120190","1362"
"https://www.goodreads.com/book/show/256008.Lonesome_Dove","119864","1345"
"https://www.goodreads.com/book/show/343.Perfume","119757","1363"
"https://www.goodreads.com/book/show/38709.Holes","119112","1425"
"https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe","118524","1478"
"https://www.goodreads.com/book/show/472331.Watchmen","116803","1323"
"https://www.goodreads.com/book/show/4556058-the-last-olympian","116667","1342"
"https://www.goodreads.com/book/show/830502.It","116665","1356"
"https://www.goodreads.com/book/show/114345.The_Little_House_Collection","115182","1362"
"https://www.goodreads.com/book/show/6656.The_Divine_Comedy","114553","1359"
"https://www.goodreads.com/book/show/34268.Peter_Pan","113967","1411"
"https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front","113211","1327"
"https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again","107693","1287"
"https://www.goodreads.com/book/show/1423.The_Compleat_Works_of_Wllm_Shkspr","107435","1234"
"https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera","106544","1267"
"https://www.goodreads.com/book/show/2802316-shadow-kiss","105253","1171"
"https://www.goodreads.com/book/show/11735983-insurgent","105049","1196"
"https://www.goodreads.com/book/show/3412.The_Thorn_Birds","104541","1266"
"https://www.goodreads.com/book/show/35545737-a-walk-to-remember","104259","1218"
"https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_","98302","1267"
"https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy","97948","1152"
"https://www.goodreads.com/book/show/19501.Eat_Pray_Love","97395","1126"
"https://www.goodreads.com/book/show/6867.Atonement","97148","1162"
"https://www.goodreads.com/book/show/92303.The_Importance_of_Being_Earnest","97145","1208"
"https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God","96204","1112"
"https://www.goodreads.com/book/show/7190.The_Three_Musketeers","95643","1199"
"https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz","95607","1249"
"https://www.goodreads.com/book/show/2282133.Frostbite","94763","1077"
"https://www.goodreads.com/book/show/32929.Goodnight_Moon","94057","1168"
"https://www.goodreads.com/book/show/7784.The_Lorax","92519","1130"
"https://www.goodreads.com/book/show/12067.Good_Omens","92518","1057"
"https://www.goodreads.com/book/show/5996153-blood-promise","90041","1027"
"https://www.goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles","89325","1094"
"https://www.goodreads.com/book/show/1078.The_Good_Earth","88598","1078"
"https://www.goodreads.com/book/show/4900.Heart_of_Darkness","88597","1094"
"https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth","87690","1037"
"https://www.goodreads.com/book/show/18335634-clockwork-princess","87538","979"
"https://www.goodreads.com/book/show/1622.A_Midsummer_Night_s_Dream","87403","1151"
"https://www.goodreads.com/book/show/2547.The_Prophet","86870","1047"
"https://www.goodreads.com/book/show/40605251-the-mists-of-avalon","85038","1010"
"https://www.goodreads.com/book/show/561456.The_Titan_s_Curse","84630","1019"
"https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters","84340","1015"
"https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club","82687","1038"
